the_geom,MeterNo,MeterType,LONG,LAT,Status,Borough,X,Y
POINT (-73.91631328307274 40.75764475387354),4072215,Strada,-73.9163132831,40.7576447539,Active,Queens,1007434.65441,215318.193101
POINT (-73.91634400366989 40.7577945257277),4072227,Strada,-73.9163440037,40.7577945257,Active,Queens,1007426.09143,215372.751719
POINT (-73.91469131584644 40.7570183900582),4072226,Strada,-73.9146913158,40.7570183901,Active,Queens,1007884.22798,215090.421903
POINT (-73.91386084790658 40.756629554230386),4072225,Strada,-73.9138608479,40.7566295542,Active,Queens,1008114.44307,214948.981569
POINT (-73.9131699490014 40.75657091510157),4072224,Strada,-73.913169949,40.7565709151,Active,Queens,1008305.87445,214927.806415
POINT (-73.91303354224782 40.75624055808571),4072223,Strada,-73.9130335422,40.7562405581,Active,Queens,1008343.78481,214807.484149
POINT (-73.92568119732243 40.86324446084294),1068277,Strada,-73.9256811973,40.8632444608,Active,Manhattan,1004806.71675,253789.574163
POINT (-73.92544311008416 40.86287575922529),1068276,Strada,-73.9254431101,40.8628757592,Active,Manhattan,1004872.68643,253655.297857
POINT (-73.92501596985593 40.86278321462277),1068275,Strada,-73.9250159699,40.8627832146,Active,Manhattan,1004990.86369,253621.681126
POINT (-73.92498306322948 40.86266990258676),1068274,Strada,-73.9249830632,40.8626699026,Active,Manhattan,1005000.00114,253580.404962
POINT (-73.92506643706221 40.86228910981265),1068273,Strada,-73.9250664371,40.8622891098,Active,Manhattan,1004977.05827,253441.647694
POINT (-73.92488374353789 40.86199316021416),1068272,Strada,-73.9248837435,40.8619931602,Active,Manhattan,1005027.68481,253333.865101
POINT (-73.92512889479676 40.86201533023446),1068266,Strada,-73.9251288948,40.8620153302,Active,Manhattan,1004959.86736,253341.884442
POINT (-73.92552598025532 40.862631207246785),1068265,Strada,-73.9255259803,40.8626312072,Active,Manhattan,1004849.84002,253566.178613
POINT (-73.92584320731221 40.86312425512628),1068264,Strada,-73.9258432073,40.8631242551,Active,Manhattan,1004761.94158,253745.74059
POINT (-73.92740351044219 40.86315057907121),1068261,Strada,-73.9274035104,40.8631505791,Active,Manhattan,1004330.35025,253754.969902
POINT (-73.92559009078722 40.86381949997286),1068281,Strada,-73.9255900908,40.8638195,Active,Manhattan,1004831.73901,253999.104584
POINT (-73.92514322583851 40.86398637875589),1068280,Strada,-73.9251432258,40.8639863788,Active,Manhattan,1004955.28961,254060.010302
POINT (-73.92521780952652 40.86377583857284),1068279,Strada,-73.9252178095,40.8637758386,Active,Manhattan,1004934.72535,253983.284734
POINT (-73.92559362512459 40.86363639755111),1068278,Strada,-73.9255936251,40.8636363976,Active,Manhattan,1004830.81808,253932.392447
POINT (-73.92641631574801 40.863332919763835),1068263,Strada,-73.9264163157,40.8633329198,Active,Manhattan,1004603.35462,253821.631514
POINT (-73.92812074484463 40.862698874106435),1068262,Strada,-73.9281207448,40.8626988741,Active,Manhattan,1004132.09671,253590.232698
POINT (-73.94944357461596 40.82809859435333),1228480,Strada,-73.9494435746,40.8280985944,Active,Manhattan,998241.390968,240979.926226
POINT (-73.94898875527663 40.82871955201576),1228479,Strada,-73.9489887553,40.828719552,Active,Manhattan,998367.129562,241206.236797
POINT (-73.94860034271836 40.82924965768229),1228478,Strada,-73.9486003427,40.8292496577,Active,Manhattan,998474.507628,241399.436542
POINT (-73.94807413697492 40.829979477537755),1228477,Strada,-73.948074137,40.8299794775,Active,Manhattan,998619.973873,241665.422559
POINT (-73.94767733676761 40.83051504221687),1228476,Strada,-73.9476773368,40.8305150422,Inactive,Manhattan,998729.667879,241860.613769
POINT (-73.94721361442438 40.83057676152724),1228447,Strada,-73.9472136144,40.8305767615,Active,Manhattan,998857.983895,241883.177372
POINT (-73.94777825370896 40.82980762675462),1228446,Strada,-73.9477782537,40.8298076268,Active,Manhattan,998701.893984,241602.859692
POINT (-73.94813694965674 40.82931808414585),1228445,Strada,-73.9481369497,40.8293180841,Active,Manhattan,998602.73375,241424.442398
POINT (-73.9486527180112 40.82860545153161),1228444,Strada,-73.948652718,40.8286054515,Active,Manhattan,998460.150702,241164.720148
POINT (-73.94906126811675 40.82804259901725),1228443,Strada,-73.9490612681,40.828042599,Active,Manhattan,998347.205389,240959.586372
POINT (-73.96145027910649 40.81038092621905),1389709,Strada,-73.9614502791,40.8103809262,Active,Manhattan,994921.400233,234523.050689
POINT (-73.96043701881511 40.809951610127094),1389710,Strada,-73.9604370188,40.8099516101,Active,Manhattan,995201.96332,234366.760647
POINT (-73.95980088444865 40.80968382875223),1389711,Strada,-73.9598008844,40.8096838288,Active,Manhattan,995378.105028,234269.278558
POINT (-73.95911513145357 40.80964535516506),1389708,Strada,-73.9591151315,40.8096453552,Active,Manhattan,995567.944872,234255.349124
POINT (-73.95857887663901 40.81037715411125),1389707,Strada,-73.9585788766,40.8103771541,Active,Manhattan,995716.26741,234522.039208
POINT (-73.95819275226242 40.810909409708884),1389706,Strada,-73.9581927523,40.8109094097,Active,Manhattan,995823.062472,234716.00962
POINT (-73.95762681513348 40.81167834964845),1389705,Strada,-73.9576268151,40.8116783496,Active,Manhattan,995979.58939,234996.237078
POINT (-73.95720206018586 40.81226777191017),1389704,Strada,-73.9572020602,40.8122677719,Active,Manhattan,996097.063564,235211.041767
POINT (-73.95127537063243 40.79133602171568),1348082,Strada,-73.9512753706,40.7913360217,Active,Manhattan,997741.895248,227585.729261
POINT (-73.95275225822073 40.78900421015382),1348077,Strada,-73.9527522582,40.7890042102,Active,Manhattan,997333.401971,226735.946184
POINT (-73.94038390116346 40.79800921613392),1289729,Strada,-73.9403839012,40.7980092161,Active,Manhattan,1000756.09821,230018.869736
POINT (-73.94097969565361 40.79825979679813),1289728,Strada,-73.9409796957,40.7982597968,Active,Manhattan,1000591.07721,230110.053281
POINT (-73.9412922950787 40.798963730161155),1289732,Strada,-73.9412922951,40.7989637302,Active,Manhattan,1000504.35527,230366.462545
POINT (-73.94143490019255 40.798984881595146),1289733,Strada,-73.9414349002,40.7989848816,Active,Manhattan,1000464.86716,230374.14232
POINT (-73.94219140706264 40.79896154611402),1289731,Strada,-73.9421914071,40.7989615461,Active,Manhattan,1000255.41942,230365.501261
POINT (-73.94078698559204 40.79836840087508),1289730,Strada,-73.9407869856,40.7983684009,Active,Manhattan,1000644.4065,230149.657532
POINT (-73.96368260558859 40.79828298562917),1038149,Strada,-73.9636826056,40.7982829856,Active,Manhattan,994305.271216,230115.081158
POINT (-73.96326830626349 40.79885714247272),1038146,Strada,-73.9632683063,40.7988571425,Active,Manhattan,994419.891394,230324.314335
POINT (-73.96274327914978 40.79957396146742),1038145,Strada,-73.9627432791,40.7995739615,Active,Manhattan,994565.144384,230585.537894
POINT (-73.96181692976384 40.80085097416056),1038142,Strada,-73.9618169298,40.8008509742,Active,Manhattan,994821.416837,231050.908683
POINT (-73.9614161535573 40.80139488444117),1038141,Strada,-73.9614161536,40.8013948844,Active,Manhattan,994932.288991,231249.122853
POINT (-73.96348491746407 40.79822145417884),1038148,Strada,-73.9634849175,40.7982214542,Active,Manhattan,994360.014873,230092.685862
POINT (-73.96306242142278 40.798797964298515),1038147,Strada,-73.9630624214,40.7987979643,Active,Manhattan,994476.903747,230302.777633
POINT (-73.96249162584543 40.79959504158969),1038144,Strada,-73.9624916258,40.7995950416,Active,Manhattan,994634.815504,230593.247853
POINT (-73.96208317351513 40.800151004077314),1038143,Strada,-73.9620831735,40.8001510041,Active,Manhattan,994747.814622,230795.85309
POINT (-73.96117978097813 40.80138329310188),1038140,Strada,-73.961179781,40.8013832931,Active,Manhattan,994997.732758,231244.928636
POINT (-73.93712038978094 40.80211267507548),1208076,Strada,-73.9371203898,40.8021126751,Active,Manhattan,1001658.60362,231514.534724
POINT (-73.9376144112233 40.80143569699966),1208075,Strada,-73.9376144112,40.801435697,Active,Manhattan,1001522.00645,231267.790139
POINT (-73.93799915704115 40.80090325658705),1208073,Strada,-73.937999157,40.8009032566,Active,Manhattan,1001415.62347,231073.727863
POINT (-73.93850972732038 40.80020780700781),1208072,Strada,-73.9385097273,40.800207807,Active,Manhattan,1001274.44429,230820.251664
POINT (-73.93735119616866 40.801406278120005),1208074,Strada,-73.9373511962,40.8014062781,Active,Manhattan,1001594.88754,231257.123821
POINT (-73.9383031583084 40.800095419668956),1208071,Strada,-73.9383031583,40.8000954197,Active,Manhattan,1001331.66464,230779.345249
POINT (-73.93865236459114 40.79961610271821),1208070,Strada,-73.9386523646,40.7996161027,Active,Manhattan,1001235.10414,230604.645468
POINT (-73.95864278710927 40.77262994052432),1208010,Strada,-73.9586427871,40.7726299405,Active,Manhattan,995705.068613,220769.420716
POINT (-73.95908298789702 40.772030474273876),1208009,Strada,-73.9590829879,40.7720304743,Active,Manhattan,995583.244382,220550.957898
POINT (-73.95953056340814 40.77141777868752),1208006,Strada,-73.9595305634,40.7714177787,Active,Manhattan,995459.377504,220327.67488
POINT (-73.95996715961826 40.77082357833555),1208005,Strada,-73.9599671596,40.7708235783,Active,Manhattan,995338.54638,220111.132334
POINT (-73.96044809599155 40.770158878490555),1208002,Strada,-73.960448096,40.7701588785,Active,Manhattan,995205.442972,219868.899551
POINT (-73.95834150559676 40.772650277013604),1208011,Strada,-73.9583415056,40.772650277,Active,Manhattan,995788.513656,220776.86952
POINT (-73.95872496971847 40.77212300475314),1208008,Strada,-73.9587249697,40.7721230048,Active,Manhattan,995682.392806,220584.716361
POINT (-73.95928074735671 40.77136111295573),1208007,Strada,-73.9592807474,40.771361113,Active,Manhattan,995528.58209,220307.061732
POINT (-73.9597452905222 40.770726098093206),1208004,Strada,-73.9597452905,40.7707260981,Active,Manhattan,995400.017386,220075.6452
POINT (-73.96008755756165 40.770255071105574),1208003,Strada,-73.9600875576,40.7702550711,Active,Manhattan,995305.292182,219903.991016
POINT (-73.94880265094466 40.77379572659276),1294853,Strada,-73.9488026509,40.7737957266,Active,Manhattan,998430.328583,221195.595388
POINT (-73.94847890551057 40.774237770658225),1294852,Strada,-73.9484789055,40.7742377707,Active,Manhattan,998519.902879,221356.699397
POINT (-73.94792039057539 40.77500148459368),1294851,Strada,-73.9479203906,40.7750014846,Active,Manhattan,998674.430457,221635.037423
POINT (-73.94758538135572 40.77546453871633),1294850,Strada,-73.9475853814,40.7754645387,Active,Manhattan,998767.116623,221803.798896
POINT (-73.94698726533073 40.776709449569715),1294849,Strada,-73.9469872653,40.7767094496,Active,Manhattan,998932.500479,222257.461375
POINT (-73.9465221654109 40.776918216092184),1294848,Strada,-73.9465221654,40.7769182161,Active,Manhattan,999061.268922,222333.60033
POINT (-73.95246255231363 40.81111684687851),1019684,Strada,-73.9524625523,40.8111168469,Active,Manhattan,997409.252541,234792.395294
POINT (-73.95592032608026 40.81401775684076),1019685,Strada,-73.9559203261,40.8140177568,Active,Manhattan,996451.544483,235848.799677
POINT (-73.94556244970089 40.807436495559564),1019674,Strada,-73.9455624497,40.8074364956,Active,Manhattan,999320.162761,233452.62468
POINT (-73.94536192318982 40.808164937072554),1019672,Strada,-73.9453619232,40.8081649371,Active,Manhattan,999375.509763,233718.056236
POINT (-73.94597029618622 40.807333719047826),1019673,Strada,-73.9459702962,40.807333719,Active,Manhattan,999207.280113,233415.109663
POINT (-73.94837823954158 40.808610736476005),1019677,Strada,-73.9483782395,40.8086107365,Active,Manhattan,998540.404478,233879.970282
POINT (-73.94820912187988 40.80942029389645),1019675,Strada,-73.9482091219,40.8094202939,Active,Manhattan,998587.046773,234174.948366
POINT (-73.94872007607793 40.80871582947577),1019676,Strada,-73.9487200761,40.8087158295,Active,Manhattan,998445.75178,233918.203801
POINT (-73.9510389731272 40.810520163929866),1019678,Strada,-73.9510389731,40.8105201639,Active,Manhattan,997803.447291,234575.219547
POINT (-73.95134088535225 40.80975958539245),1019680,Strada,-73.9513408854,40.8097595854,Active,Manhattan,997720.025541,234298.067215
POINT (-73.95148683062509 40.809902529797995),1019679,Strada,-73.9514868306,40.8099025298,Active,Manhattan,997679.595504,234350.124525
