factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.706361656,-74.0174216571
PUBLIC K-12 SCHOOLS,40.7611956189,-73.9961398316
PUBLIC K-12 SCHOOLS,40.8157066494,-73.955626041
PUBLIC K-12 SCHOOLS,40.8631487807,-73.8468096172
PUBLIC K-12 SCHOOLS,40.7655838251,-73.9596148319
PUBLIC K-12 SCHOOLS,40.6654256123,-73.925670135
PUBLIC K-12 SCHOOLS,40.8921300219,-73.8617840385
PUBLIC K-12 SCHOOLS,40.8356214988,-73.9197103353
PUBLIC K-12 SCHOOLS,40.8149759759,-73.952175015
PUBLIC K-12 SCHOOLS,40.8610316991,-73.891508731
PUBLIC K-12 SCHOOLS,40.7678711564,-73.9886337355
PUBLIC K-12 SCHOOLS,40.681020451,-73.8760900716
PUBLIC K-12 SCHOOLS,40.8554913275,-73.9161880988
PUBLIC K-12 SCHOOLS,40.8128346132,-73.9056953704
PUBLIC K-12 SCHOOLS,40.5088193825,-74.2440109751
PUBLIC K-12 SCHOOLS,40.7702831129,-73.9507759646
PUBLIC K-12 SCHOOLS,40.714505,-73.798334
PUBLIC K-12 SCHOOLS,40.6769175844,-73.8468239158
PUBLIC K-12 SCHOOLS,40.580905,-73.831105
PUBLIC K-12 SCHOOLS,40.6984005818,-73.7462126542
PUBLIC K-12 SCHOOLS,40.7286967273,-73.8900627305
PUBLIC K-12 SCHOOLS,40.8435358162,-73.86512094
PUBLIC K-12 SCHOOLS,40.6578705028,-73.9200357684
PUBLIC K-12 SCHOOLS,40.6479306506,-73.9255745206
PUBLIC K-12 SCHOOLS,40.7453492633,-73.7578900481
PUBLIC K-12 SCHOOLS,40.6655542658,-73.8976323941
PUBLIC K-12 SCHOOLS,40.8505439347,-73.9339397246
PUBLIC K-12 SCHOOLS,40.6822392089,-73.9167289854
PUBLIC K-12 SCHOOLS,40.8600475654,-73.9276076088
PUBLIC K-12 SCHOOLS,40.7425694637,-74.0023598077
PUBLIC K-12 SCHOOLS,40.8485281683,-73.892593456
PUBLIC K-12 SCHOOLS,40.8318085527,-73.8276365019
PUBLIC K-12 SCHOOLS,40.6237810731,-73.94682234
PUBLIC K-12 SCHOOLS,40.6710652565,-73.9077621188
PUBLIC K-12 SCHOOLS,40.5297914922,-74.1876447336
PUBLIC K-12 SCHOOLS,40.5878470493,-73.940092498
PUBLIC K-12 SCHOOLS,40.7658340238,-73.9896312546
PUBLIC K-12 SCHOOLS,40.6662173598,-73.9238764139
PUBLIC K-12 SCHOOLS,40.7342810137,-73.7086840852
PUBLIC K-12 SCHOOLS,40.6883457821,-73.9353214973
PUBLIC K-12 SCHOOLS,40.7149203918,-73.9634328451
PUBLIC K-12 SCHOOLS,40.6776147101,-73.9086982204
PUBLIC K-12 SCHOOLS,40.7143508385,-73.9830484438
PUBLIC K-12 SCHOOLS,40.7420029974,-73.9921729353
PUBLIC K-12 SCHOOLS,40.866366027,-73.9239000192
PUBLIC K-12 SCHOOLS,40.6777991331,-73.8866888684
PUBLIC K-12 SCHOOLS,40.8714559352,-73.9117456202
PUBLIC K-12 SCHOOLS,40.6458126471,-74.0016659026
PUBLIC K-12 SCHOOLS,40.8320344957,-73.8784757025
PUBLIC K-12 SCHOOLS,40.5843961321,-73.8251702173
PUBLIC K-12 SCHOOLS,40.6954343057,-73.9856067477
PUBLIC K-12 SCHOOLS,40.5944017803,-73.9938576886
PUBLIC K-12 SCHOOLS,40.8724633337,-73.9053084398
PUBLIC K-12 SCHOOLS,40.822130495,-73.8770965988
PUBLIC K-12 SCHOOLS,40.7711510263,-73.9061202023
PUBLIC K-12 SCHOOLS,40.5781340719,-73.9801229518
PUBLIC K-12 SCHOOLS,40.7561267929,-73.9251645143
PUBLIC K-12 SCHOOLS,40.8769103712,-73.8813299298
PUBLIC K-12 SCHOOLS,40.5941747509,-74.0805836284
PUBLIC K-12 SCHOOLS,40.7007561907,-73.7817836737
PUBLIC K-12 SCHOOLS,40.8320592987,-73.9175614216
PUBLIC K-12 SCHOOLS,40.8735877909,-73.8998315042
PUBLIC K-12 SCHOOLS,40.8494638086,-73.9155191425
PUBLIC K-12 SCHOOLS,40.6860252817,-73.7569286053
PUBLIC K-12 SCHOOLS,40.8336999102,-73.9039486866
PUBLIC K-12 SCHOOLS,40.7893797395,-73.968098772
PUBLIC K-12 SCHOOLS,40.6693077742,-73.9786954648
PUBLIC K-12 SCHOOLS,40.8181317065,-73.9115219134
PUBLIC K-12 SCHOOLS,40.7585660307,-73.9391793309
PUBLIC K-12 SCHOOLS,40.7377595817,-73.7562479831
PUBLIC K-12 SCHOOLS,40.7341083361,-73.8610043031
PUBLIC K-12 SCHOOLS,40.7112535409,-74.001641791
PUBLIC K-12 SCHOOLS,40.6858794052,-73.8694409392
PUBLIC K-12 SCHOOLS,40.7658340238,-73.9896312546
PUBLIC K-12 SCHOOLS,40.6079892722,-73.9849724332
PUBLIC K-12 SCHOOLS,40.6892743708,-73.8411519253
PUBLIC K-12 SCHOOLS,40.7464702154,-73.9809935726
PUBLIC K-12 SCHOOLS,40.7531316998,-73.8846295529
PUBLIC K-12 SCHOOLS,40.7321942398,-73.717725887
PUBLIC K-12 SCHOOLS,40.823285793,-73.860075377
PUBLIC K-12 SCHOOLS,40.6722787639,-73.9060748358
PUBLIC K-12 SCHOOLS,40.8308116318,-73.8773073303
PUBLIC K-12 SCHOOLS,40.7948732665,-73.9685433541
PUBLIC K-12 SCHOOLS,40.6488841687,-73.9760101133
PUBLIC K-12 SCHOOLS,40.6474126502,-73.8917633078
PUBLIC K-12 SCHOOLS,40.874645523,-73.8678617143
PUBLIC K-12 SCHOOLS,40.774899959,-73.9856303892
PUBLIC K-12 SCHOOLS,40.69302027,-73.8690781724
PUBLIC K-12 SCHOOLS,40.6837922974,-73.8155246521
PUBLIC K-12 SCHOOLS,40.8141155933,-73.8868657816
PUBLIC K-12 SCHOOLS,40.6909696473,-73.9177222681
PUBLIC K-12 SCHOOLS,40.7971167561,-73.9667879186
PUBLIC K-12 SCHOOLS,40.7374011003,-73.8237358873
PUBLIC K-12 SCHOOLS,40.6946322617,-73.9883475943
PUBLIC K-12 SCHOOLS,40.8258589907,-73.9377991354
PUBLIC K-12 SCHOOLS,40.6655745805,-73.9120825862
PUBLIC K-12 SCHOOLS,40.6371557605,-73.9858256399
PUBLIC K-12 SCHOOLS,40.6916106527,-73.9313878165
PUBLIC K-12 SCHOOLS,40.774899959,-73.9856303892
PUBLIC K-12 SCHOOLS,40.7655838251,-73.9596148319
PUBLIC K-12 SCHOOLS,40.883103363,-73.8915581013
PUBLIC K-12 SCHOOLS,40.8702249921,-73.8970700586
PUBLIC K-12 SCHOOLS,40.7094065559,-73.803656288
PUBLIC K-12 SCHOOLS,40.6219554148,-73.9957518348
PUBLIC K-12 SCHOOLS,40.6830573757,-73.9298126875
PUBLIC K-12 SCHOOLS,40.684469081,-73.9604981913
PUBLIC K-12 SCHOOLS,40.6655542658,-73.8976323941
PUBLIC K-12 SCHOOLS,40.7332053725,-73.8780700856
PUBLIC K-12 SCHOOLS,40.7097572366,-73.9444950927
PUBLIC K-12 SCHOOLS,40.639687011,-74.0795918852
